FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
2.4124415,2685.4673,125.75017
1.8354897,1319.928,122.69461
4.3752804,637.7858,134.6316
1.4435687,609.1997,119.67101
28.780867,1445.705,129.2254
4.2314277,594.1106,130.26593
4.9813876,709.90564,127.94559
3.014185,591.23303,121.24146
2.5820954,1462.7454,130.29468
2.152728,800.4221,124.15533
7.256821,825.5062,129.80594
1.2971122,1068.5247,124.9931
1.3593515,114.675285,126.745804
5.8006434,1152.4233,131.26831
5.6178885,1068.3761,127.58818
7.2011495,1809.6815,125.966866
1.5726166,663.6699,122.60758
2.0372233,419.3248,130.8275
3.3630805,294.76053,117.007164
3.9045064,367.56433,128.57439
0.76446724,262.19595,118.27134
10.332126,1347.3176,126.53488
2.2477715,1031.3777,130.19258
1.8940108,551.566,126.991714
4.0106673,1576.602,130.85342
1.129773,784.14575,122.14763
1.8371658,1292.0917,124.77592
2.0730731,862.81,132.7156
2.109732,1017.88947,132.32863
5.556897,1310.6534,129.16257
1.4457324,972.90564,125.20935
4.274676,2065.5066,129.7567
0.66095346,215.95108,114.74375
1.5446143,1401.892,122.80056
2.4623706,956.1811,122.86583
2.9044616,740.44586,126.579346
0.86140305,593.8303,117.03505
2.3348455,2058.42,127.6604
1.8125587,590.9403,125.47701
12.879054,2507.9612,135.12495
0.88380253,381.04547,121.87989
1.0968677,115.99583,122.31374
3.8064787,963.96497,125.09965
0.9435482,229.6764,123.02764
17.45539,525.5635,131.44559
0.85166585,636.2891,124.39489
0.89838046,411.8296,123.241905
2.979638,1637.5225,128.4557
7.4946527,612.35114,122.80505
2.1990373,1331.5249,128.43645
8.424973,457.20667,125.17307
16.740545,458.0674,122.524376
0.85602504,325.00983,115.54678
2.0757072,1824.3926,132.21512
0.9160275,988.34503,124.531
7.8738537,643.4814,126.84171
12.417554,1561.2375,132.76414
9.424544,732.3965,126.554276
32.678543,308.54532,130.12628
0.46008205,224.67079,120.15305
1.9306487,1579.5096,126.01979
3.7478297,893.2993,135.25002
0.5206474,288.16605,120.593185
1.1557392,826.7909,126.96774
8.207071,558.9043,133.37465
38.08512,1071.8601,133.48524
0.70201015,210.63594,123.537186
2.106874,248.49365,126.7411
9.395078,214.13875,117.65349
3.6415956,211.75603,126.481544
4.055522,771.52814,125.463066
9.4748955,420.36496,129.4957
0.5441339,770.7686,119.47844
6.222214,1726.3844,129.48842
1.9604716,959.2257,131.63193
8.610083,304.56317,114.882225
38.053303,1695.2816,129.98259
2.2259753,1277.852,132.35567
2.5820832,622.7664,132.24379
151.71506,766.0633,121.61592
0.7135808,405.89438,122.117676
1.8900005,482.69556,124.04911
3.9610238,463.00305,130.68791
1.9794277,2675.29,133.5664
68.628044,885.85333,135.51076
2.6394775,558.5866,135.70805
12.551307,709.3202,133.89487
46.88998,399.52032,115.40913
1.7076311,1378.98,122.05231
4.1921053,729.60706,125.717804
2.8349104,785.1305,133.88116
1.18963,342.8139,129.45255
7.455104,814.9249,135.15454
0.7474771,467.7019,122.572395
17.646597,1034.2291,131.7255
8.206925,264.03687,124.2226
1.099284,554.6072,125.55518
1.4813966,417.3351,125.685715
22.993689,447.20685,132.19287
26.146748,654.5306,129.9592
2.8917377,1351.9667,128.16977
23.97591,902.27966,123.3863
4.472039,1427.1366,126.72149
0.59611833,169.74907,116.718216
2.784294,665.75885,123.43407
0.77490234,341.73383,119.192604
1.6693226,1400.5513,130.03304
46.197304,532.22565,133.76425
6.1461267,2181.724,130.2801
4.0519066,850.4544,128.0671
5.5485864,667.25146,129.98776
1.2560239,494.55032,121.66166
4.1854625,942.5999,130.58044
4.304484,2479.4536,135.89095
4.8189473,377.22784,134.12315
13.619252,198.86194,126.52446
24.16582,156.81165,125.55766
2.8650534,1589.3186,131.21974
23.18922,717.1732,129.90096
8.255984,475.735,128.05792
1.859554,714.84595,125.86213
6.5923743,761.0823,124.27233
5.2598734,914.2971,135.35838
5.1715126,193.28355,114.485
9.64056,575.9401,129.05908
1.5089614,853.36487,125.26354
3.901926,709.7598,133.99838
0.65580827,276.95676,118.44769
1.8931955,1242.2516,122.85173
0.97684616,240.49126,119.95852
3.2696521,1124.3237,123.536575
3.303877,1093.7991,129.72002
2.70982,222.54457,128.57047
0.7757492,320.91452,115.75967
1.7612996,800.1902,132.19664
1.8812038,1061.9149,125.806755
1.2195724,675.8616,128.91792
44.58954,855.078,125.6729
3.0253541,1020.484,128.44766
3.1536367,1396.9645,133.2608
1.5904002,1072.2684,129.51009
4.012221,738.9008,124.573204
1.1654437,303.65097,121.10848
0.6106872,400.75906,114.485825
16.518362,1051.0074,135.23204
1.2224189,252.03238,114.744225
2.644718,408.76645,131.67691
0.9009711,459.19485,120.42896
1.9845961,1836.2866,129.73936
1.6587834,1499.7865,123.739
1.1762727,370.15363,120.18417
1.3750774,274.854,129.5602
2.527768,1467.3118,130.2484
1.251592,862.1559,125.50224
1.9338658,520.5041,116.53285
15.255764,346.93054,134.59465
11.868966,746.52136,126.17144
2.292279,910.7114,126.034386
3.6786668,565.97595,128.71701
1.3378083,629.10516,124.067444
9.573093,547.2047,133.01215
2.1919858,685.64545,131.10582
1.9200724,944.46484,130.77832
3.8026478,2427.8367,129.49902
3.776843,228.58855,121.50642
1.7447877,300.3807,128.08696
0.65783274,571.4823,121.55986
19.206385,1805.494,129.51482
5.668406,782.82275,128.0954
2.1377463,712.3203,129.99352
35.11798,762.75946,122.37306
2.2960238,357.4254,130.34435
102.85181,364.6105,119.17512
3.962298,185.10487,122.76298
2.5628016,447.8024,121.19144
3.2202032,701.858,133.70499
0.87124556,910.0565,122.18252
2.891438,1049.3214,129.1163
5.071991,528.63434,120.0981
5.771294,1394.3527,134.85338
65.98582,956.5431,126.81564
3.9721107,1150.5365,130.08322
36.17897,188.58,116.32633
20.409567,698.8476,128.44527
1.6858695,785.36475,131.00043
424.1762,548.3145,132.2227
95.29137,508.81577,119.71588
12.90357,1340.0858,129.07253
13.816271,903.43445,134.93028
8.394268,198.84459,127.55887
9.154352,226.05511,117.26245
3.422266,220.06075,124.72944
14.924186,851.2689,129.27855
11.010655,572.32605,121.129234
8.221613,1069.4055,128.85034
13.713441,1055.8787,127.633675
2.9323308,1334.572,129.30861
20.6128,554.0767,132.16812
1.0956515,755.33484,121.16749
13.835386,2263.0334,125.4661
2.723714,393.46146,124.40952
4.7849164,362.65295,131.55789
1.466546,997.5027,130.36053
340.7633,2668.9307,128.90991
1.2926728,695.7701,126.93575
2.0020473,1119.8772,127.77568
3.0508068,276.5287,125.266464
1.8530821,921.7967,132.45255
6.558159,1283.1649,123.80721
1.9113777,475.45792,125.29269
5.5032363,559.2519,134.35382
7.5669227,949.5915,131.72325
1.8646178,1111.7738,126.063934
1.1233456,114.13114,126.658485
64.37241,312.37738,123.594536
11.0740185,665.3454,129.42094
5.9420295,1439.801,130.76758
1.6572204,171.75157,125.624886
12.72434,303.2707,120.37236
1.8114047,1143.5322,121.69766
26.078827,305.45517,122.45514
136.5927,40.654972,119.982994
2.5414848,1783.2001,128.49895
17.864521,1328.269,127.00553
2.7152505,577.5344,117.28094
1.0925997,46.772373,123.970276
293.42862,452.3493,130.40923
9.157861,1259.1986,122.00981
1.8529454,286.7455,128.71199
6.9271045,569.13336,130.25357
0.70523804,478.7953,120.720116
5.490605,946.4197,131.09988
0.80802673,172.38542,123.91989
10.02709,1117.8506,125.044685
3.4123971,1820.128,128.15411
7.978157,1437.7518,125.47043
5.1923785,1078.4431,129.98036
5.210413,1697.398,129.14102
2.926666,445.9607,126.03424
6.7731752,58.56241,117.847496
11.806541,1059.8046,134.6192
3.7040906,1665.0679,133.26315
1.1109984,457.1459,120.70881
1.004702,481.69522,121.30739
8.577328,2544.7185,133.6122
0.9161336,565.07086,124.91827
3.7667184,1074.8527,127.58841
1.3888793,843.88055,126.725365
4.8151402,223.04915,126.67597
12.112303,698.19446,130.15836
2.1219792,913.5535,132.10614
1.9396734,1421.6097,134.24937
17.899487,2001.9227,133.45117
1.417362,447.09457,129.0108
1.2906475,83.78127,115.760994
2.430955,2274.8772,134.7385
13.193514,401.7689,126.77077
2.9825623,1625.5911,130.69133
7.187282,1359.6393,133.90779
2.2451608,835.882,119.964264
5.321596,1236.6655,109.56218
153.99945,997.34644,126.08683
2.7042859,2016.3578,126.52669
83.56584,1077.053,133.16956
124.47082,913.39294,127.55261
2.928904,371.0,124.8305
160.58861,1059.067,135.4261
5.2877913,654.90045,129.13693
3.5504777,647.11176,127.20473
1.4997116,1018.7181,129.15988
3.1806176,2925.7974,133.43301
0.8634425,544.6235,120.12676
3.9259827,709.6192,128.62991
7.1543894,2273.5093,132.91324
10.314639,1241.1079,127.25175
8.503346,455.80768,133.0458
6.2015285,1002.3467,127.94502
48.87697,1318.7406,133.93431
2.837519,2000.1411,126.42799
6.647126,2067.1372,126.79625
2.120363,787.60297,127.100555
0.55276006,482.2268,120.21724
30.44335,301.71725,125.49432
1.637763,565.34344,121.8067
25.9695,408.04056,132.65964
2.3751504,927.3887,132.83452
2.9216237,506.93973,128.72707
13.611771,859.98395,134.0999
225.44183,1369.9889,129.81898
92.32517,1008.6559,128.15932
1.6272279,1571.9218,129.00742
1.2099108,164.12933,116.203766
0.5856665,292.47946,114.4445
36.606194,518.1665,119.782776
6.101848,702.72485,129.84578
3.6617231,1140.3229,127.551704
1.2850829,1469.3727,126.39669
6.1819253,2543.2097,133.72197
0.5529069,94.18529,115.32341
2.8885362,298.96878,130.13719
1.2544626,1543.0836,128.74184
0.7053884,186.19214,120.52575
2.4584987,1431.907,133.02365
4.3835716,1099.3114,133.34818
0.99337226,272.90866,121.31595
1.1416936,301.3084,124.7104
2.304177,1135.7001,123.34454
15.158833,341.56152,120.63093
1.9985073,1739.0393,128.03944
3.0333211,261.02145,131.97527
106.879486,212.33372,121.14144
1.4883717,1120.9108,122.44791
6.8898573,1037.3331,130.49763
3.5712407,1342.3679,129.36552
2.260579,371.0961,127.8936
7.2542205,609.8213,126.65826
4.8055344,2314.0686,132.60214
7.9314413,1712.8192,131.6375
9.989263,229.05286,126.69812
2.8615024,1383.2549,132.29767
2.5885637,2061.608,133.17189
258.73666,1098.8317,128.00964
0.86351925,270.282,117.93111
1.629637,688.6801,124.383026
2.643226,527.6406,119.57855
1.7588891,891.6165,122.400154
9.41106,1184.9552,131.18541
1.5659059,490.7481,129.23866
10.153539,611.7645,127.417114
2.7986994,1231.449,127.07272
6.561233,761.74927,127.257034
0.9535351,653.6975,119.53355
49.14097,1082.45,134.28607
3.810617,185.1562,119.286156
8.090808,539.5703,120.72135
1.1316624,410.32162,122.17718
8.2677,151.64594,124.075
3.5865555,754.2816,124.09713
3.3100295,1450.4092,130.44366
1.184785,493.9891,123.51476
8.191694,1715.8021,131.58934
1.1859331,1487.3866,126.306366
0.69497705,92.58309,116.52095
2.9898577,153.43149,119.139
2.814831,2098.1033,125.74285
4.218923,184.29985,126.854004
1.3865296,533.6087,124.31243
3.269555,264.28992,130.4967
1.6485057,849.5427,121.9378
2.096251,809.0183,130.30693
3.477523,1229.3632,129.92894
313.7254,1151.7196,126.55254
3.3495498,757.98737,117.33117
80.25535,372.92148,126.24771
2.4069293,543.4797,117.440414
7.5474267,591.1857,122.89147
4.1509466,575.19574,126.7188
24.18021,1300.9911,134.87146
2.5375473,1950.5723,132.474
82.55369,898.8331,132.54149
0.92619914,700.1253,120.183014
2.6899648,804.5906,131.87503
0.59358835,343.83005,118.234085
69.93271,658.01654,118.72812
1.817103,1155.4526,132.31248
9.01651,350.1929,127.49245
2.215259,1048.8713,132.48897
2.7606108,761.9372,126.67457
3.565144,603.84595,129.14369
1.6230867,328.69327,128.85437
0.66913855,340.3503,122.12245
0.73425066,275.2324,120.906136
1.4476848,618.298,126.422714
4.099066,685.9504,130.32634
19.299501,189.97313,122.45776
14.656406,946.72107,126.35354
1.897498,728.48883,126.20642
0.72770184,107.974815,124.5159
1.5076025,816.16345,130.86703
22.933586,1623.8817,126.145676
2.3346217,426.74112,129.28088
3.2090483,174.22232,122.566696
0.7743865,243.63771,116.446465
1.5892619,458.39047,118.95304
3.9789336,748.7814,134.28302
2.0487773,523.46735,128.34694
3.5819361,701.26166,121.422455
